iter	RMSE
0	1.110845433
1	1.073457797
2	1.038303628
3	1.006054543
4	0.97674247
5	0.9496778027
6	0.9235070331
7	0.8990434393
8	0.8777621984
9	0.8559931304
10	0.836918013
11	0.8189508319
12	0.8031576359
13	0.7880455648
14	0.7727877321
15	0.7602281013
16	0.7489542073
17	0.7376569121
18	0.727617942
19	0.7159980723
20	0.7058199365
21	0.6968714212
22	0.6881918483
23	0.6788609007
24	0.6702472493
25	0.6625946843
26	0.6558668637
27	0.6506654796
28	0.6451427816
29	0.640042879
30	0.6359175658
31	0.6321462736
32	0.6279870213
33	0.6245133751
34	0.6195646202
35	0.6167367586
36	0.613378299
37	0.6096195658
38	0.6047501792
39	0.6015265379
40	0.5988661658
41	0.5964401842
42	0.5930572103
43	0.5909077485
44	0.5873374824
45	0.5839370033
46	0.5818752768
47	0.5792826987
48	0.5762657897
49	0.5745948496
50	0.5727374833
51	0.5709359822
52	0.5692242111
53	0.5677583752
54	0.5649808614
55	0.5637699515
56	0.5618786713
57	0.5606100331
58	0.5594712657
59	0.5581725365
60	0.5561286098
61	0.5539349275
62	0.5529937935
63	0.5518082831
64	0.5502055768
65	0.54942311
66	0.5483606854
67	0.5476211858
68	0.546357943
69	0.5451277799
70	0.5444967461
71	0.5433349693
72	0.5423761995
73	0.5417080991
74	0.5409203599
75	0.5400101031
76	0.5393632641
77	0.5385921896
78	0.5364459061
79	0.5353316861
80	0.5342220034
81	0.5327104646
82	0.5315959878
83	0.5303740055
84	0.5296496274
85	0.5284358582
86	0.5277748248
87	0.52730182
88	0.5266485211
89	0.5263162054
90	0.5253457144
91	0.524206575
92	0.5234417484
93	0.5222352145
94	0.5216360961
95	0.520152483
96	0.5195179035
97	0.5187073531
98	0.5177919876
99	0.517027091
100	0.5161456191
101	0.5154280426
102	0.5146826141
103	0.5140559817
104	0.5128012581
105	0.5123229734
106	0.5117207431
107	0.5112161609
108	0.5107555394
109	0.5099164928
110	0.5093997861
111	0.508879459
112	0.5083662647
113	0.50784579
114	0.5071335399
115	0.506831793
116	0.5066530238
117	0.5059809546
118	0.5055414044
119	0.5045644803
120	0.5040402225
121	0.5033521382
122	0.5028056973
123	0.5022561284
124	0.501755689
125	0.5012397638
126	0.5008908789
127	0.5001481083
128	0.499682118
129	0.499201381
130	0.4988825873
131	0.4984862558
132	0.4979250592
133	0.4969171755
134	0.4961597348
135	0.4954289913
136	0.4951321256
137	0.4948331551
138	0.4943808155
139	0.4939441057
140	0.4933541081
141	0.4930013259
142	0.4924526826
143	0.4919650328
144	0.4916648822
145	0.4914059055
146	0.4909278137
147	0.4902156706
148	0.4898644535
149	0.4893852566
150	0.4887394502
151	0.4882989117
152	0.4879674081
153	0.4875842538
154	0.487055573
155	0.486602627
156	0.485873238
157	0.48526907
158	0.4847532822
159	0.4842996335
160	0.4839201627
161	0.4834025337
162	0.4828878808
163	0.4825050168
164	0.4820462932
165	0.4810845345
166	0.4805199027
167	0.4800604492
168	0.4796901791
169	0.4792839011
170	0.4783160687
171	0.4780921615
172	0.4776153823
173	0.4770948451
174	0.4766511206
175	0.4760409978
