iter	Passed	Remaining
0	14	14914
1	22	11223
2	29	9729
3	35	8959
4	42	8483
5	46	7752
6	50	7164
7	55	6820
8	58	6483
9	62	6218
10	66	6010
11	70	5828
12	74	5674
13	78	5533
14	82	5387
15	85	5271
16	89	5170
17	93	5094
18	97	5012
19	100	4922
20	104	4880
21	108	4835
22	112	4785
23	116	4720
24	120	4684
25	123	4637
26	127	4588
27	130	4540
28	134	4496
29	138	4463
30	141	4436
31	145	4398
32	148	4365
33	153	4356
34	156	4326
35	161	4319
36	164	4292
37	168	4276
38	172	4254
39	176	4238
40	180	4214
41	184	4197
42	189	4207
43	194	4216
44	198	4221
45	209	4335
46	213	4323
47	218	4327
48	223	4342
49	227	4321
50	231	4307
51	235	4285
52	238	4267
53	242	4241
54	245	4220
55	250	4223
56	255	4232
57	260	4232
58	269	4305
59	283	4444
60	288	4439
61	292	4425
62	296	4402
63	299	4383
64	303	4359
65	307	4352
66	314	4386
67	319	4373
68	322	4352
69	326	4334
70	331	4339
71	335	4318
72	339	4305
73	344	4309
74	349	4311
75	354	4310
76	367	4408
77	374	4425
78	379	4426
79	386	4444
80	390	4426
81	393	4410
82	397	4395
83	401	4377
84	404	4358
85	409	4347
86	413	4339
87	417	4329
88	421	4310
89	425	4298
90	428	4285
91	433	4278
92	436	4261
93	440	4245
94	444	4233
95	448	4219
96	451	4203
97	455	4188
98	458	4174
99	462	4163
100	466	4154
101	470	4146
102	475	4137
103	479	4127
104	483	4117
105	486	4105
106	490	4090
107	493	4078
108	497	4067
109	501	4055
110	504	4044
111	508	4032
112	512	4021
113	516	4011
114	527	4061
115	539	4114
116	548	4136
117	552	4128
118	555	4113
119	560	4108
120	563	4097
121	567	4083
122	571	4072
123	575	4062
124	578	4048
125	584	4051
126	596	4098
127	604	4117
128	611	4127
129	615	4121
130	621	4124
131	627	4123
132	630	4112
133	634	4099
134	637	4086
135	641	4076
136	645	4065
137	649	4054
138	652	4041
139	656	4030
140	659	4020
141	663	4008
142	667	3997
143	670	3986
144	674	3975
145	677	3961
146	681	3951
147	686	3950
148	689	3939
149	693	3928
150	697	3922
151	700	3910
152	704	3899
153	708	3890
154	711	3879
155	715	3868
156	719	3861
157	723	3854
158	727	3845
159	732	3845
160	740	3857
161	746	3859
162	750	3852
163	753	3842
164	757	3832
165	761	3824
166	765	3818
167	771	3820
168	777	3821
169	781	3817
170	786	3813
171	790	3803
172	793	3794
173	798	3790
174	802	3781
175	805	3772
176	809	3763
177	813	3754
178	817	3747
179	820	3737
180	824	3729
181	828	3722
182	831	3713
183	835	3705
184	839	3697
185	842	3688
186	846	3680
187	850	3672
188	853	3662
189	857	3653
190	860	3646
191	864	3636
192	867	3627
193	870	3618
194	874	3610
195	878	3604
196	882	3597
197	887	3594
198	892	3590
199	895	3583
200	899	3574
201	903	3569
202	907	3562
203	911	3554
204	914	3548
205	918	3541
206	924	3541
207	928	3533
208	932	3529
209	936	3522
210	939	3514
211	943	3506
212	946	3498
213	950	3492
214	954	3485
215	958	3479
216	964	3478
217	970	3479
218	975	3478
219	981	3479
220	985	3475
221	990	3472
222	997	3475
223	1002	3473
224	1006	3467
225	1012	3466
226	1016	3460
227	1020	3454
228	1024	3448
229	1028	3442
230	1032	3435
231	1035	3428
232	1039	3422
233	1043	3415
234	1046	3407
235	1050	3401
236	1055	3396
237	1059	3391
238	1063	3385
239	1067	3380
240	1071	3374
241	1075	3367
242	1078	3360
243	1082	3353
244	1085	3346
245	1089	3340
246	1093	3335
247	1098	3330
248	1101	3323
249	1105	3317
250	1109	3311
251	1113	3304
252	1117	3299
253	1121	3292
254	1125	3287
255	1128	3280
256	1132	3274
257	1136	3269
258	1140	3264
259	1144	3257
260	1150	3256
261	1154	3251
262	1158	3246
263	1162	3241
264	1166	3235
265	1169	3228
266	1174	3223
267	1177	3217
268	1181	3210
269	1185	3205
270	1189	3200
271	1194	3195
272	1197	3189
273	1204	3192
274	1209	3187
275	1212	3180
276	1215	3173
277	1219	3168
278	1224	3164
279	1229	3160
280	1233	3156
281	1238	3152
282	1241	3145
283	1245	3139
284	1248	3132
285	1253	3129
286	1257	3122
287	1260	3116
288	1264	3110
289	1267	3103
290	1271	3097
291	1275	3091
292	1278	3084
293	1281	3078
294	1285	3072
295	1289	3066
296	1292	3059
297	1296	3053
298	1299	3047
299	1303	3041
300	1307	3035
301	1310	3029
302	1314	3023
303	1318	3017
304	1321	3011
305	1325	3007
306	1329	3001
307	1332	2994
308	1337	2991
309	1341	2984
310	1344	2978
311	1347	2972
312	1351	2965
313	1354	2959
314	1358	2954
315	1361	2947
316	1365	2941
317	1368	2935
318	1372	2929
319	1375	2923
320	1379	2917
321	1389	2926
322	1394	2922
323	1398	2917
324	1401	2911
325	1405	2905
326	1408	2899
327	1411	2892
328	1415	2887
329	1419	2881
330	1422	2875
331	1426	2869
332	1429	2863
333	1432	2857
334	1436	2851
335	1439	2845
336	1442	2838
337	1446	2832
338	1449	2826
339	1453	2820
340	1456	2814
341	1459	2808
342	1463	2803
343	1466	2797
344	1470	2791
345	1474	2786
346	1477	2780
347	1481	2775
348	1484	2769
349	1487	2763
350	1491	2757
351	1495	2752
352	1498	2746
353	1501	2740
354	1504	2734
355	1508	2728
356	1512	2723
357	1515	2717
358	1518	2711
359	1522	2705
360	1525	2700
361	1529	2695
362	1532	2689
363	1535	2683
364	1539	2677
365	1542	2672
366	1546	2666
367	1549	2661
368	1553	2655
369	1556	2649
370	1559	2644
371	1563	2638
372	1566	2633
373	1569	2627
374	1572	2621
375	1576	2616
376	1580	2611
377	1583	2605
378	1586	2600
379	1590	2594
380	1593	2589
381	1597	2584
382	1601	2579
383	1604	2574
384	1608	2569
385	1611	2563
386	1615	2558
387	1618	2552
388	1621	2547
389	1625	2542
390	1629	2537
391	1632	2531
392	1636	2526
393	1639	2521
394	1643	2516
395	1646	2511
396	1649	2505
397	1653	2500
398	1656	2495
399	1660	2490
400	1663	2485
401	1667	2479
402	1670	2474
403	1674	2469
404	1677	2464
405	1681	2459
406	1684	2454
407	1687	2449
408	1691	2443
409	1694	2438
410	1698	2433
411	1701	2428
412	1705	2423
413	1710	2421
414	1714	2416
415	1721	2416
416	1725	2412
417	1728	2406
418	1732	2402
419	1735	2397
420	1741	2395
421	1746	2392
422	1752	2389
423	1770	2405
424	1774	2401
425	1778	2396
426	1781	2391
427	1785	2385
428	1789	2381
429	1792	2375
430	1795	2370
431	1799	2365
432	1803	2361
433	1807	2356
434	1810	2352
435	1814	2347
436	1820	2345
437	1824	2341
438	1828	2337
439	1833	2333
440	1839	2331
441	1843	2327
442	1849	2324
443	1853	2321
444	1858	2318
445	1862	2313
446	1866	2309
447	1870	2304
448	1874	2300
449	1878	2295
450	1881	2290
451	1885	2286
452	1889	2281
453	1893	2276
454	1896	2272
455	1900	2267
456	1905	2264
457	1909	2259
458	1913	2254
459	1917	2250
460	1920	2245
461	1924	2240
462	1927	2236
463	1931	2231
464	1935	2226
465	1939	2222
466	1943	2217
467	1947	2213
468	1951	2209
469	1954	2204
470	1958	2199
471	1963	2196
472	1967	2192
473	1974	2191
474	1978	2187
475	1983	2183
476	1986	2178
477	1989	2173
478	1993	2168
479	1997	2164
480	2001	2159
481	2004	2154
482	2008	2149
483	2012	2145
484	2015	2140
485	2019	2135
486	2025	2133
487	2029	2129
488	2033	2125
489	2037	2120
490	2041	2115
491	2044	2111
492	2049	2107
493	2052	2102
494	2056	2098
495	2060	2093
496	2064	2088
497	2067	2084
498	2071	2079
499	2074	2074
500	2078	2070
501	2082	2066
502	2086	2061
503	2090	2057
504	2094	2052
505	2097	2048
506	2101	2043
507	2104	2038
508	2109	2034
509	2112	2030
510	2117	2025
511	2120	2021
512	2124	2016
513	2128	2012
514	2134	2010
515	2139	2006
516	2143	2002
517	2146	1997
518	2150	1993
519	2154	1988
520	2158	1984
521	2162	1979
522	2166	1975
523	2169	1971
524	2173	1966
525	2178	1962
526	2181	1958
527	2186	1954
528	2190	1949
529	2193	1945
530	2197	1941
531	2201	1936
532	2206	1933
533	2209	1928
534	2216	1926
535	2224	1925
536	2229	1922
537	2233	1918
538	2237	1913
539	2241	1909
540	2246	1906
541	2250	1901
542	2255	1898
543	2260	1894
544	2264	1890
545	2268	1886
546	2273	1882
547	2277	1878
548	2282	1874
549	2286	1870
550	2290	1866
551	2295	1862
552	2299	1858
553	2303	1854
554	2308	1850
555	2312	1846
556	2316	1842
557	2321	1838
558	2324	1834
559	2328	1829
560	2332	1825
561	2336	1821
562	2341	1817
563	2348	1815
564	2358	1815
565	2364	1813
566	2371	1811
567	2375	1806
568	2379	1802
569	2383	1798
570	2387	1793
571	2392	1790
572	2395	1785
573	2400	1781
574	2403	1776
575	2408	1772
576	2411	1768
577	2415	1763
578	2419	1759
579	2423	1754
580	2427	1750
581	2431	1746
582	2434	1741
583	2438	1737
584	2442	1732
585	2446	1728
586	2450	1724
587	2454	1719
588	2458	1715
589	2462	1710
590	2466	1706
591	2469	1701
592	2473	1697
593	2476	1692
594	2480	1688
595	2483	1683
596	2488	1679
597	2491	1675
598	2496	1671
599	2500	1666
600	2505	1663
601	2508	1658
602	2512	1654
603	2516	1649
604	2520	1645
605	2524	1641
606	2528	1636
607	2531	1632
608	2535	1628
609	2539	1623
610	2544	1619
611	2547	1615
612	2551	1610
613	2555	1606
614	2559	1601
615	2563	1598
616	2567	1593
617	2571	1589
618	2575	1585
619	2579	1580
620	2583	1576
621	2586	1572
622	2590	1567
623	2594	1563
624	2598	1558
625	2602	1554
626	2606	1550
627	2609	1545
628	2615	1542
629	2621	1539
630	2627	1536
631	2631	1531
632	2634	1527
633	2638	1523
634	2642	1519
635	2646	1514
636	2649	1509
637	2653	1505
638	2657	1501
639	2661	1496
640	2664	1492
641	2668	1487
642	2672	1483
643	2675	1479
644	2679	1475
645	2683	1470
646	2690	1467
647	2693	1463
648	2697	1458
649	2702	1455
650	2707	1451
651	2712	1447
652	2717	1443
653	2725	1442
654	2734	1440
655	2738	1435
656	2742	1432
657	2746	1427
658	2750	1423
659	2754	1418
660	2758	1414
661	2761	1410
662	2765	1405
663	2769	1401
664	2773	1397
665	2777	1392
666	2781	1388
667	2785	1384
668	2791	1381
669	2795	1377
670	2799	1372
671	2803	1368
672	2807	1363
673	2810	1359
674	2814	1355
675	2818	1350
676	2822	1346
677	2826	1342
678	2829	1337
679	2833	1333
680	2837	1329
681	2841	1324
682	2845	1320
683	2849	1316
684	2852	1311
685	2856	1307
686	2860	1303
687	2864	1299
688	2868	1294
689	2872	1290
690	2878	1287
691	2884	1283
692	2888	1279
693	2891	1275
694	2895	1270
695	2901	1267
696	2904	1262
697	2908	1258
698	2912	1254
699	2916	1249
700	2919	1245
701	2923	1241
702	2927	1236
703	2931	1232
704	2937	1229
705	2941	1224
706	2944	1220
707	2948	1216
708	2952	1211
709	2956	1207
710	2959	1203
711	2964	1199
712	2968	1194
713	2972	1190
714	2976	1186
715	2979	1181
716	2983	1177
717	2987	1173
718	2993	1169
719	2999	1166
720	3003	1162
721	3007	1158
722	3012	1154
723	3016	1149
724	3020	1145
725	3023	1141
726	3027	1136
727	3032	1133
728	3036	1128
729	3042	1125
730	3047	1121
731	3051	1117
732	3055	1112
733	3059	1108
734	3063	1104
735	3067	1100
736	3071	1096
737	3075	1091
738	3079	1087
739	3082	1083
740	3086	1078
741	3090	1074
742	3093	1070
743	3097	1065
744	3102	1061
745	3106	1057
746	3116	1055
747	3120	1051
748	3123	1046
749	3129	1043
750	3132	1038
751	3136	1034
752	3140	1030
753	3144	1026
754	3148	1021
755	3152	1017
756	3156	1013
757	3160	1009
758	3164	1004
759	3168	1000
760	3172	996
761	3176	992
762	3179	987
763	3183	983
764	3188	979
765	3194	975
766	3201	972
767	3205	968
768	3212	964
769	3216	960
770	3219	956
771	3222	951
772	3230	948
773	3233	944
774	3237	939
775	3245	936
776	3250	932
777	3254	928
778	3259	924
779	3263	920
780	3267	916
781	3270	911
782	3275	907
783	3278	903
784	3282	899
785	3286	894
786	3290	890
787	3294	886
788	3297	881
789	3301	877
790	3305	873
791	3309	869
792	3313	864
793	3316	860
794	3320	856
795	3324	852
796	3328	847
797	3332	843
798	3336	839
799	3340	835
800	3344	830
801	3348	826
802	3352	822
803	3357	818
804	3362	814
805	3365	810
806	3369	805
807	3373	801
808	3377	797
809	3381	793
810	3384	788
811	3388	784
812	3392	780
813	3396	776
814	3399	771
815	3403	767
816	3406	763
817	3410	758
818	3414	754
819	3418	750
820	3423	746
821	3426	741
822	3430	737
823	3434	733
824	3437	729
825	3441	724
826	3445	720
827	3449	716
828	3453	712
829	3457	708
830	3461	704
831	3465	699
832	3469	695
833	3473	691
834	3477	687
835	3481	683
836	3485	678
837	3489	674
838	3493	670
839	3496	666
840	3500	661
841	3504	657
842	3508	653
843	3512	649
844	3516	645
845	3520	640
846	3523	636
847	3527	632
848	3531	628
849	3535	623
850	3538	619
851	3542	615
852	3547	611
853	3550	607
854	3554	602
855	3558	598
856	3561	594
857	3566	590
858	3570	586
859	3578	582
860	3582	578
861	3586	574
862	3589	569
863	3594	565
864	3601	562
865	3606	557
866	3609	553
867	3614	549
868	3618	545
869	3621	541
870	3625	536
871	3629	532
872	3634	528
873	3637	524
874	3641	520
875	3645	516
876	3648	511
877	3652	507
878	3656	503
879	3660	499
880	3665	495
881	3669	490
882	3675	486
883	3681	483
884	3684	478
885	3688	474
886	3691	470
887	3695	466
888	3699	461
889	3702	457
890	3706	453
891	3710	449
892	3714	445
893	3718	440
894	3722	436
895	3725	432
896	3729	428
897	3733	424
898	3737	419
899	3741	415
900	3745	411
901	3749	407
902	3752	403
903	3756	398
904	3760	394
905	3764	390
906	3767	386
907	3771	382
908	3775	377
909	3779	373
910	3782	369
911	3786	365
912	3789	361
913	3793	356
914	3797	352
915	3801	348
916	3805	344
917	3808	340
918	3812	336
919	3816	331
920	3819	327
921	3823	323
922	3827	319
923	3831	315
924	3834	310
925	3838	306
926	3842	302
927	3846	298
928	3850	294
929	3854	290
930	3857	285
931	3861	281
932	3864	277
933	3868	273
934	3872	269
935	3876	265
936	3880	260
937	3883	256
938	3888	252
939	3891	248
940	3895	244
941	3898	240
942	3902	235
943	3906	231
944	3910	227
945	3913	223
946	3917	219
947	3921	215
948	3925	210
949	3930	206
950	3937	202
951	3943	198
952	3948	194
953	3954	190
954	3958	186
955	3962	182
956	3966	178
957	3970	174
958	3974	169
959	3978	165
960	3983	161
961	3986	157
962	3990	153
963	3994	149
964	3998	145
965	4002	140
966	4005	136
967	4009	132
968	4013	128
969	4017	124
970	4021	120
971	4025	115
972	4028	111
973	4033	107
974	4037	103
975	4043	99
976	4046	95
977	4052	91
978	4055	86
979	4059	82
980	4064	78
981	4067	74
982	4071	70
983	4075	66
984	4079	62
985	4082	57
986	4086	53
987	4090	49
988	4093	45
989	4097	41
990	4101	37
991	4105	33
992	4108	28
993	4112	24
994	4116	20
995	4120	16
996	4124	12
997	4127	8
998	4132	4
999	4135	0
